round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
2,CT,t_killed,True,cs2,de_mirage,success
3,T,ct_killed,True,cs2,de_mirage,success
4,T,ct_killed,True,cs2,de_mirage,success
5,CT,t_killed,True,cs2,de_mirage,success
6,CT,t_killed,True,cs2,de_mirage,success
7,CT,t_killed,True,cs2,de_mirage,success
8,T,ct_killed,True,cs2,de_mirage,success
9,CT,t_killed,True,cs2,de_mirage,success
10,CT,t_killed,True,cs2,de_mirage,success
11,T,ct_killed,True,cs2,de_mirage,success
12,CT,t_killed,True,cs2,de_mirage,success
13,CT,t_killed,True,cs2,de_mirage,success
14,CT,t_killed,True,cs2,de_mirage,success
15,CT,t_killed,True,cs2,de_mirage,success
16,CT,t_killed,True,cs2,de_mirage,success
17,CT,t_killed,True,cs2,de_mirage,success
18,CT,bomb_defused,True,cs2,de_mirage,success
19,T,ct_killed,True,cs2,de_mirage,success
20,T,ct_killed,True,cs2,de_mirage,success
21,CT,t_killed,True,cs2,de_mirage,success
22,CT,bomb_defused,True,cs2,de_mirage,success
23,CT,t_killed,True,cs2,de_mirage,success
24,CT,bomb_defused,True,cs2,de_mirage,success
25,CT,t_killed,True,cs2,de_mirage,success
