round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
1,,,True,cs2,de_nuke,success
2,T,ct_killed,True,cs2,de_nuke,success
3,CT,t_killed,True,cs2,de_nuke,success
4,CT,t_killed,True,cs2,de_nuke,success
5,CT,t_killed,True,cs2,de_nuke,success
6,CT,t_killed,True,cs2,de_nuke,success
7,CT,t_killed,True,cs2,de_nuke,success
8,CT,bomb_defused,True,cs2,de_nuke,success
9,CT,t_killed,True,cs2,de_nuke,success
10,CT,t_killed,True,cs2,de_nuke,success
11,CT,t_killed,True,cs2,de_nuke,success
12,CT,time_ran_out,True,cs2,de_nuke,success
13,CT,t_killed,True,cs2,de_nuke,success
14,CT,bomb_defused,True,cs2,de_nuke,success
15,CT,t_killed,True,cs2,de_nuke,success
16,T,bomb_exploded,True,cs2,de_nuke,success
17,T,ct_killed,True,cs2,de_nuke,success
